"","subject","modality","accuracy","mean(confidence, na.rm = T)"
"647",83,"vision",0,2.69090909090909
"648",83,"vision",1,3.48275862068966
"649",84,"Calories",0,4.60714285714286
"650",84,"Calories",1,4.54411764705882
"651",84,"GDP",0,3.1875
"652",84,"GDP",1,5.19444444444444
"653",84,"memory",0,3.18518518518519
"654",84,"memory",1,4.54109589041096
"655",84,"vision",0,3.98214285714286
"656",84,"vision",1,4.42361111111111
"657",85,"Calories",0,3.8
"658",85,"Calories",1,4.89393939393939
"659",85,"GDP",0,3.36363636363636
"660",85,"GDP",1,4.01351351351351
"661",85,"memory",0,2.40540540540541
"662",85,"memory",1,4.5
"663",85,"vision",0,3
"664",85,"vision",1,3.83802816901408
"665",86,"Calories",0,6.37931034482759
"666",86,"Calories",1,6.25675675675676
"667",86,"GDP",0,5.6551724137931
"668",86,"GDP",1,6.16176470588235
"669",86,"memory",0,4.40740740740741
"670",86,"memory",1,6.13294797687861
"671",86,"vision",0,4.37704918032787
"672",86,"vision",1,5.3768115942029
"673",87,"Calories",0,4.56
"674",87,"Calories",1,4.96103896103896
"675",87,"GDP",0,3.20689655172414
"676",87,"GDP",1,4.35820895522388
"677",87,"memory",0,1.92682926829268
"678",87,"memory",1,4.50943396226415
"679",87,"vision",0,2.12
"680",87,"vision",1,2.62
"681",88,"Calories",0,4.58064516129032
"682",88,"Calories",1,4.77333333333333
"683",88,"GDP",0,4.88888888888889
"684",88,"GDP",1,5.56716417910448
"685",88,"memory",0,2.20879120879121
"686",88,"memory",1,3.65740740740741
"687",88,"vision",0,2.9
"688",88,"vision",1,3.74285714285714
"689",89,"Calories",0,4.51515151515152
"690",89,"Calories",1,5.20289855072464
"691",89,"GDP",0,3.66666666666667
"692",89,"GDP",1,4.43076923076923
"693",89,"memory",0,4.1078431372549
"694",89,"memory",1,4.19587628865979
"695",89,"vision",0,3.95161290322581
"696",89,"vision",1,4.64492753623188
"697",90,"Calories",0,3.65384615384615
"698",90,"Calories",1,4.36486486486486
"699",90,"GDP",0,4.82142857142857
"700",90,"GDP",1,5.72222222222222
"701",90,"memory",0,2.87719298245614
"702",90,"memory",1,4.19718309859155
"703",90,"vision",0,3.83333333333333
"704",90,"vision",1,4.78571428571429
"705",91,"Calories",0,4.07692307692308
"706",91,"Calories",1,5.125
"707",91,"GDP",0,1.85294117647059
"708",91,"GDP",1,3.06578947368421
"709",91,"memory",0,1.87096774193548
"710",91,"memory",1,4.49112426035503
"711",91,"vision",0,3.35087719298246
"712",91,"vision",1,4.41258741258741
"713",92,"Calories",0,5.14285714285714
"714",92,"Calories",1,5.51388888888889
"715",92,"GDP",0,2.74074074074074
"716",92,"GDP",1,4.59154929577465
"717",92,"memory",0,1.57894736842105
"718",92,"memory",1,6.19662921348315
"719",92,"vision",0,3.75925925925926
"720",92,"vision",1,4.47945205479452
"721",93,"Calories",0,3.86666666666667
"722",93,"Calories",1,5.2972972972973
"723",93,"GDP",0,5.46428571428571
"724",93,"GDP",1,5.29850746268657
"725",93,"memory",0,2
"726",93,"memory",1,3.95035460992908
"727",93,"vision",0,1.90322580645161
"728",93,"vision",1,2.97777777777778
"729",94,"Calories",0,5.27586206896552
